Muestra,Gen,Count,AF_promedio,Pathogenic_count
L0176,ASXL1,1,0.1176,1
L0176,BAALC,1,0.0508,0
L0176,BCOR,2,0.061149999999999996,0
L0176,BRAF,2,0.0796,0
L0176,CUX1,1,0.0833,0
L0176,DEK-NUP214,1,,1
L0176,EZH2,4,0.077525,1
L0176,FLT3,4,0.11865,2
L0176,KIT,1,0.0903,0
L0176,KMT2A(MLL),4,0.10015,1
L0176,KRAS,1,0.1071,0
L0176,MPL,2,0.07919999999999999,0
L0176,NF1,3,0.11133333333333333,2
L0176,NUP214-DEK,1,,0
L0176,PHF6,5,0.06545999999999999,0
L0176,SMC1A,3,0.20173333333333332,0
L0176,TET2,1,0.0635,0
L0176,U2AF1,1,0.125,0
L0176,WT1,2,0.08035,0
L0176,ZRSR2,2,0.06675,0
L0193,ASXL1,4,0.059,1
L0193,BCOR,7,0.08544285714285714,0
L0193,BRAF,3,0.10060000000000001,1
L0193,CBL,1,0.0536,0
L0193,CEBPA,1,0.0533,1
L0193,CSF3R,1,0.0579,0
L0193,DDX41,1,0.0556,0
L0193,EZH2,4,0.07542499999999999,0
L0193,FLT3,4,0.082925,0
L0193,GATA2,7,0.1244,1
L0193,IDH1,3,0.11869999999999999,0
L0193,JAK2,2,0.10110000000000001,0
L0193,KIT,1,0.0811,0
L0193,KMT2A(MLL),14,0.08524285714285715,0
L0193,KRAS,2,0.09809999999999999,0
L0193,MPL,2,0.08895,0
L0193,NF1,14,0.11568571428571428,4
L0193,NRAS,1,0.0667,0
L0193,PHF6,2,0.1167,0
L0193,PTPN11,2,0.0513,0
L0193,RUNX1-RUNX1T1,3,,3
L0193,SETBP1,4,0.24682500000000002,0
L0193,STAG2,4,0.059825,0
L0193,TET2,2,0.0579,0
L0193,ZRSR2,2,0.087,0
L0230,"ANKRD11-ENSG00000256982(28686),ACSF3(6723)",1,,0
L0230,ASXL1,3,0.06446666666666666,0
L0230,BCOR,7,0.07348571428571428,0
L0230,BRAF,1,0.0909,0
L0230,CBL,1,0.0541,0
L0230,CSF3R,2,0.18805,0
L0230,CUX1,5,0.07672,0
L0230,DEK-NUP214,1,,1
L0230,DNMT3A,1,0.0606,0
L0230,EZH2,3,0.18839999999999998,0
L0230,FLT3,2,0.5746,1
L0230,JAK2,3,0.07556666666666667,0
L0230,KIT,2,0.1511,0
L0230,KMT2A(MLL),19,0.07976842105263159,2
L0230,KRAS,1,0.0513,0
L0230,MPL,1,0.3333,0
L0230,NF1,11,0.09796363636363635,1
L0230,NUP214-DEK,1,,0
L0230,SMC1A,4,0.053925,0
L0230,STAG2,4,0.06805,0
L0230,TET2,2,0.06265000000000001,0
L0230,ZRSR2,1,0.2222,0
L0231,ASXL1,4,0.06765,0
L0231,BCOR,5,0.07044,0
L0231,BRAF,7,0.09994285714285714,0
L0231,CBL,1,0.1667,0
L0231,CEBPA,3,0.10166666666666667,1
L0231,CSF3R,1,0.3846,0
L0231,CUX1,7,0.07454285714285715,0
L0231,DDX41,1,0.0667,0
L0231,DNMT3A,3,0.2780666666666667,1
L0231,ETV6,1,0.0789,0
L0231,EZH2,5,0.16094,0
L0231,FLT3,1,0.0595,0
L0231,IDH1,1,0.0769,0
L0231,IDH2,1,0.5541,1
L0231,JAK2,3,0.07426666666666666,0
L0231,KMT2A(MLL),6,0.29966666666666664,1
L0231,MPL,2,0.0702,0
L0231,NF1,13,0.08283846153846154,1
L0231,PHF6,1,0.0909,0
L0231,PTPN11,2,0.06155,0
L0231,SETBP1,2,0.24285,0
L0231,SF3B1,1,0.2222,0
L0231,SMC1A,7,0.06377142857142858,0
L0231,TET2,4,0.0591,0
L0231,TP53,1,0.0652,1
L0231,ZRSR2,2,0.2193,0
L0243,ASXL1,2,0.0825,0
L0243,BCOR,1,0.0706,0
L0243,CLEC16A-HOXA10-AS,1,,0
L0243,CUX1,1,0.0538,0
L0243,EZH2,1,0.0741,0
L0243,FLT3,5,0.0918,2
L0243,GAS6-AS1-TMEM255B,2,,0
L0243,KMT2A(MLL),3,0.42346666666666666,0
L0243,NF1,1,0.1196,0
L0243,NUP98-ENSG00000257184,1,,1
L0243,NUP98-HOXA9,1,,1
L0243,SETBP1,2,0.27690000000000003,0
L0243,SF1,1,0.1728,0
L0243,SMC1A,1,0.0613,0
L0243,ZRSR2,5,0.23532000000000003,0
L0364,ASXL1,7,0.07785714285714285,2
L0364,BCOR,5,0.09628,1
L0364,BRAF,1,0.0833,0
L0364,CBL,3,0.06523333333333332,0
L0364,CEBPA,4,0.06285,1
L0364,CUX1,6,0.15246666666666667,0
L0364,DDX41,4,0.0577,0
L0364,DNMT3A,5,0.07854,0
L0364,ETV6,1,0.0741,0
L0364,EZH2,6,0.06476666666666667,1
L0364,FLT3,1,0.1111,0
L0364,GATA2,1,0.3333,0
L0364,IDH1,2,0.0598,0
L0364,JAK2,5,0.08568,0
L0364,KIT,4,0.075225,0
L0364,KMT2A(MLL),18,0.07658888888888889,1
L0364,KRAS,1,0.8824,0
L0364,NF1,8,0.1741875,2
L0364,NRAS,1,0.0526,0
L0364,PHF6,1,0.1176,0
L0364,PTPN11,4,0.06587499999999999,0
L0364,RUNX1,1,0.8639,0
L0364,SETBP1,2,0.0801,0
L0364,SF3B1,1,0.1176,0
L0364,SMC1A,2,0.06315,0
L0364,STAG2,2,0.07155,0
L0364,TET2,7,0.07324285714285715,0
L0364,ZRSR2,3,0.13216666666666668,0
L0374,ASXL1,5,0.060899999999999996,0
L0374,BCOR,2,0.07105,0
L0374,BRAF,3,0.06266666666666666,0
L0374,CUX1,3,0.05786666666666667,0
L0374,DNMT3A,4,0.1389,1
L0374,ETV6,1,0.1392,0
L0374,GATA2,1,0.1667,0
L0374,KMT2A(MLL),12,0.11333333333333333,1
L0374,KRAS,2,0.2344,1
L0374,NF1,8,0.0836875,1
L0374,NPM1,1,0.5982,1
L0374,NRAS,1,0.0606,0
L0374,PHF6,4,0.110625,0
L0374,PTPN11,2,0.07285,1
L0374,TET2,1,0.0504,0
L0374,ZRSR2,3,0.0649,0
L0591,AXL1,1,0.5,0
L0591,BCOR,1,0.0714,1
L0591,BRAF,1,0.0606,0
L0591,CEBPA,3,0.3191333333333333,0
L0591,CSF3R,1,0.4723,1
L0591,EZH2,1,0.0625,0
L0591,FLT3,1,0.0606,0
L0591,IDH1,2,0.47695,0
L0591,KIT,2,0.06695000000000001,0
L0591,KMT2A(MLL),4,0.33292499999999997,0
L0591,NF1,11,0.0664,4
L0591,SETBP1,3,0.16603333333333334,0
L0591,SMC1A,1,0.2222,0
L0591,ZRSR2,2,0.1018,0
L0619B,ASXL1,2,0.21505,1
L0619B,AXL1,1,0.3333,0
